Year,Sum of Count,Sum of Agricultural Exports,Sum of Animal Products,Sum of Plant Products,Sum of Average of F-Scale,Average of Average of F-Scale2,Region
2000,403,21008.39661,4414.235545,16594.16107,4.611718057,0.384309838,Mid-West
2001,612,22020.44214,4801.672282,17218.76986,5.165888322,0.430490694,Mid-West
2002,357,22930.32317,4476.969031,18453.35414,5.919247071,0.493270589,Mid-West
2003,710,25620.50596,4956.860562,20663.6454,5.260644035,0.438387003,Mid-West
2004,817,25117.10255,4100.910213,21016.19234,5.22342578,0.435285482,Mid-West
2005,534,25326.00015,4929.028373,20396.97178,5.161803502,0.430150292,Mid-West
2006,538,29576.86286,5751.705769,23825.15709,5.543913945,0.461992829,Mid-West
2007,506,40462.8866,7051.404547,33411.48205,6.584204575,0.548683715,Mid-West
2008,770,55679.81714,9291.259737,46388.5574,6.489497185,0.540791432,Mid-West
2009,418,46115.48668,7893.242187,38222.24449,7.241520147,0.603460012,Mid-West
2010,692,53832.45966,9951.406024,43881.05363,6.695331833,0.557944319,Mid-West
2011,689,63060.77469,12481.84346,50578.93123,7.460651292,0.621720941,Mid-West
2012,364,64383.446,12935.9152,51447.53081,7.402123576,0.616843631,Mid-West
2013,442,61513.5233,13740.53589,47772.98741,7.514367338,0.626197278,Mid-West
2014,401,66868.2518,14951.04367,51917.20814,7.09132741,0.590943951,Mid-West
2000,41,3356.046648,789.1010613,2740.110367,5.461538462,0.546153846,North-East
2001,33,3491.530673,854.1537557,2909.422226,5.375,0.5375,North-East
2002,66,3349.054824,752.3043841,2756.964876,6.465833333,0.646583333,North-East
2003,49,3471.786652,742.7107466,3042.236261,3.543956044,0.354395604,North-East
2004,48,3826.341253,773.6886773,3370.06628,2.596153846,0.259615385,North-East
2005,22,3888.276996,860.37377,3311.872713,2.568181818,0.256818182,North-East
2006,58,4454.663732,939.5588233,3740.72614,7.25,0.725,North-East
2007,26,5577.576941,1259.80552,4545.787107,2.595238095,0.25952381,North-East
2008,28,7534.771476,1563.610228,6279.190699,3.064102564,0.306410256,North-East
2009,44,6436.469984,1220.00777,5543.766351,5.516483516,0.551648352,North-East
2010,86,7767.110529,1715.171995,6422.890598,5.396104183,0.539610418,North-East
2011,106,8532.292155,2127.624507,6957.227034,5.166300366,0.516630037,North-East
2012,40,9661.266788,2253.707824,7968.055661,1.544871795,0.154487179,North-East
2013,58,9606.911289,2512.028115,7750.968977,3.194444444,0.319444444,North-East
2014,50,10162.32181,2661.164012,8080.787573,3.537373737,0.353737374,North-East
2000,520,15963.68418,4573.67097,9956.842111,8.148002004,0.543200134,South-East
2001,483,16746.22498,4835.616649,10562.2731,7.92655254,0.528436836,South-East
2002,472,15688.97739,4139.771021,9841.564474,9.558081871,0.637205458,South-East
2003,589,18168.24439,4530.045549,11959.07364,8.485605745,0.56570705,South-East
2004,824,19139.80323,4116.230702,13403.913,8.559334521,0.570622301,South-East
2005,596,19359.04913,4811.751615,12944.57228,7.876511831,0.525100789,South-East
2006,483,21490.53932,4946.466927,14213.3116,8.305095356,0.553673024,South-East
2007,483,25964.81734,6292.234324,16715.09093,9.592239629,0.639482642,South-East
2008,852,32474.69138,7357.786648,20251.41061,8.95030413,0.596686942,South-East
2009,632,27709.68381,6569.657028,17615.10476,7.882159874,0.525477325,South-East
2010,396,33032.50311,7382.060459,21302.32659,10.48742485,0.699161657,South-East
2011,922,37715.07037,8900.894556,23859.19719,12.69606485,0.846404323,South-East
2012,486,39441.83478,9337.679339,24856.64685,10.47341765,0.698227844,South-East
2013,379,40819.16965,9892.824267,25424.94621,7.732363282,0.515490885,South-East
2014,347,39472.09306,9804.115698,24725.67091,10.30223352,0.686815568,South-East
2000,113,12370.49466,2006.256424,10364.23823,2.225213675,0.171170283,Western
2001,102,12769.03344,2157.116314,10611.91712,3.091485507,0.237806577,Western
2002,61,12883.50951,2014.233564,10869.27595,1.852727273,0.142517483,Western
2003,67,13811.2762,2145.195143,11666.08106,0.770114943,0.059239611,Western
2004,152,14954.49349,1624.670408,13329.82308,0.536147186,0.041242091,Western
2005,114,16211.74596,1861.408242,14350.33772,0.942156863,0.072473605,Western
2006,62,17759.07188,2165.134481,15593.9374,2.15,0.165384615,Western
2007,100,20943.9982,2972.447609,17971.55059,1.17012987,0.09000999,Western
2008,88,23937.62213,3623.511387,20314.11074,1.386736071,0.106672005,Western
2009,87,21717.21455,2830.540015,18886.67453,1.119047619,0.086080586,Western
2010,141,25536.14576,3833.436522,21702.70924,4.688262911,0.360635609,Western
2011,59,32091.29042,5046.923479,27044.36694,1.555555556,0.11965812,Western
2012,65,33311.17302,5389.640639,27921.53238,1.75,0.134615385,Western
2013,59,37921.10393,5983.20973,31937.8942,1.371794872,0.105522682,Western
2014,108,38454.17877,6296.213624,32157.96515,1.675889587,0.128914584,Western
