State,Year,Number of Tornadoes,Average F Scale Greater of Equal to 2,Agricultural Exports,Animal Products,Plant Products
TX,2000,15,2.40,2735.02,1072.36,1662.66
TX,2001,11,2.18,2958.56,1113.42,1845.14
TX,2002,10,2.30,2849.16,962.06,1887.1
TX,2003,16,2.06,3304.04,1194.64,2109.4
TX,2004,7,2.00,3597.77,681.72,2916.06
TX,2005,8,2.38,3689.92,808.82,2881.1
TX,2006,10,2.10,4152.39,934.81,3217.58
TX,2007,20,2.20,4948.57,1200.76,3747.81
TX,2008,3,2.00,6128.57,1425.78,4702.8
TX,2009,10,2.30,4554.79,1296.1,3258.69
TX,2010,12,2.33,6382.68,1592.46,4790.22
TX,2011,6,2.33,6878.7,2213.51,4665.18
TX,2012,10,2.20,6073.24,2075.35,3997.89
TX,2013,3,3.00,6127.23,2251.39,3875.84
TX,2014,2,2.00,6430.53,2263.34,4167.19
